選手名,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,四球,死球,三振,併殺打,打率,出塁率,長打率,犠打,犠飛,所属球団,年度,年齢
甲斐　拓也,139,420,366,35,74,16,1,10,122,44,0,0,31,3,117,5,0.202,0.269,0.333,18,2,福岡ソフトバンク,2023,32
小林　誠司,21,9,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0.125,0.125,0.125,1,0,読　売,2023,35
大城　卓三,134,490,424,50,119,20,1,16,189,55,0,0,36,5,109,12,0.281,0.341,0.446,21,4,読　売,2023,31
岸田　行倫,46,72,68,5,17,2,0,2,25,3,0,0,2,1,12,4,0.25,0.282,0.368,1,0,読　売,2023,28
郡　拓也,7,15,15,2,4,1,0,0,5,0,1,0,0,0,1,0,0.267,0.267,0.333,0,0,北海道日本ハム,2023,26
山瀬　慎之助,5,7,7,1,1,0,0,0,1,0,0,0,0,0,3,0,0.143,0.143,0.143,0,0,読　売,2023,23
増田　大輝,33,13,10,4,3,1,0,0,4,1,4,2,1,0,3,0,0.3,0.364,0.4,2,0,読　売,2023,31
吉川　尚輝,132,478,430,47,110,19,4,7,158,36,4,4,26,8,66,12,0.256,0.308,0.367,11,3,読　売,2023,29
門脇　誠,126,348,316,34,83,12,1,3,106,21,11,5,18,0,58,4,0.263,0.302,0.335,14,0,読　売,2023,23
坂本　勇人,116,455,403,46,116,29,0,22,211,60,2,0,45,2,84,5,0.288,0.361,0.524,3,2,読　売,2023,35
岡本　和真,140,589,503,83,140,31,0,41,294,93,0,1,72,8,111,10,0.278,0.374,0.584,0,6,読　売,2023,28
中山　礼都,78,147,138,9,33,5,1,0,40,3,5,1,7,0,30,5,0.239,0.276,0.29,2,0,読　売,2023,22
リチャード,22,64,61,2,7,1,0,0,8,1,0,0,2,1,25,0,0.115,0.156,0.131,0,0,福岡ソフトバンク,2023,25
秋広　優人,121,439,406,36,111,18,2,10,163,41,0,1,26,2,79,9,0.273,0.318,0.401,2,3,読　売,2023,22
長野　久義,75,176,158,15,41,7,1,6,68,19,1,1,17,0,40,2,0.259,0.33,0.43,0,1,読　売,2023,39
丸　佳浩,121,431,385,43,94,11,0,18,159,47,4,2,42,0,62,5,0.244,0.316,0.413,1,3,読　売,2023,35
萩尾　匡也,11,16,16,0,1,0,0,0,1,0,0,0,0,0,10,0,0.063,0.063,0.063,0,0,読　売,2023,23
岡田　悠希,26,52,48,4,8,1,0,1,12,2,0,0,3,0,14,1,0.167,0.216,0.25,1,0,読　売,2023,24
重信　慎之介,67,57,51,16,8,0,0,0,8,1,10,4,5,0,16,1,0.157,0.232,0.157,1,0,読　売,2023,31
オコエ　瑠偉,41,127,119,11,28,7,0,2,41,6,1,1,5,2,35,1,0.235,0.278,0.345,1,0,読　売,2023,27
浅野　翔吾,24,41,40,2,10,1,0,1,14,2,0,2,1,0,14,0,0.25,0.268,0.35,0,0,読　売,2023,20
若林　楽人,36,94,90,7,22,5,1,1,32,7,4,2,2,0,30,2,0.244,0.261,0.356,2,0,埼玉西武,2023,26
嶺井　博希,44,39,34,3,7,2,0,2,15,6,0,0,0,1,10,1,0.206,0.222,0.441,3,1,福岡ソフトバンク,2023,33
谷川原　健太,61,46,43,8,10,1,0,0,11,3,2,1,3,0,12,0,0.233,0.283,0.256,0,0,福岡ソフトバンク,2023,27
海野　隆司,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,福岡ソフトバンク,2023,27
川瀬　晃,102,208,178,25,42,7,3,0,55,15,2,2,9,2,23,3,0.236,0.279,0.309,18,1,福岡ソフトバンク,2023,27
山川　穂高,17,62,59,3,15,4,0,0,19,5,0,0,3,0,17,1,0.254,0.29,0.322,0,0,埼玉西武,2023,33
今宮　健太,126,484,427,38,109,22,0,9,158,48,4,0,27,2,58,14,0.255,0.3,0.37,24,4,福岡ソフトバンク,2023,33
牧原　大成,91,387,359,40,93,13,1,2,114,32,3,2,11,5,66,6,0.259,0.287,0.318,7,5,福岡ソフトバンク,2023,32
周東　佑京,114,268,237,52,57,5,1,2,70,17,36,7,20,3,56,3,0.241,0.307,0.295,7,1,福岡ソフトバンク,2023,28
栗原　陵矢,96,387,352,24,84,14,0,13,137,49,0,1,28,4,81,6,0.239,0.301,0.389,1,2,福岡ソフトバンク,2023,28
井上　朋也,15,41,38,3,10,2,0,1,15,3,0,0,3,0,10,0,0.263,0.317,0.395,0,0,福岡ソフトバンク,2023,21
リチャード,22,64,61,2,7,1,0,0,8,1,0,0,2,1,25,0,0.115,0.156,0.131,0,0,福岡ソフトバンク,2023,25
秋広　優人,121,439,406,36,111,18,2,10,163,41,0,1,26,2,79,9,0.273,0.318,0.401,2,3,読　売,2023,22
野村　勇,50,95,81,14,13,2,0,3,24,7,1,0,8,4,33,0,0.16,0.266,0.296,1,1,福岡ソフトバンク,2023,27
近藤　健介,143,613,492,75,149,33,0,26,260,87,3,4,109,6,117,7,0.303,0.431,0.528,0,6,福岡ソフトバンク,2023,31
中村　晃,136,585,511,52,140,13,2,5,172,37,0,2,60,3,53,8,0.274,0.351,0.337,7,4,福岡ソフトバンク,2023,35
柳田　悠岐,143,625,546,57,163,29,3,22,264,85,1,0,64,9,97,9,0.299,0.378,0.484,0,6,福岡ソフトバンク,2023,36
佐藤　直樹,41,31,30,6,5,1,0,1,9,2,3,1,0,0,16,0,0.167,0.167,0.3,1,0,福岡ソフトバンク,2023,26
正木　智也,15,30,26,2,1,0,0,0,1,1,0,0,3,1,10,0,0.038,0.167,0.038,0,0,福岡ソフトバンク,2023,25
柳町　達,116,375,311,27,80,18,1,0,100,34,2,1,58,1,104,8,0.257,0.375,0.322,4,1,福岡ソフトバンク,2023,27
川原田　純平,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,福岡ソフトバンク,2023,22
生海,13,21,20,2,4,0,0,0,4,0,0,0,1,0,5,0,0.2,0.238,0.2,0,0,福岡ソフトバンク,2023,24
梅野　隆太郎,72,251,217,17,42,4,0,1,49,19,3,1,28,2,56,6,0.194,0.288,0.226,1,3,阪　神,2023,33
坂本　誠志郎,84,289,243,10,55,5,1,0,62,21,0,0,19,4,62,4,0.226,0.288,0.255,18,5,阪　神,2023,31
榮枝　裕貴,2,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0.333,0.333,0.333,1,0,阪　神,2023,26
長坂　拳弥,10,12,9,0,2,0,0,0,2,0,0,0,0,0,3,0,0.222,0.222,0.222,3,0,阪　神,2023,30
木浪　聖也,127,470,408,41,109,22,1,1,136,41,0,0,31,4,103,13,0.267,0.32,0.333,20,7,阪　神,2023,30
大山　悠輔,143,625,513,80,148,29,0,19,234,78,3,3,99,5,120,13,0.288,0.403,0.456,0,8,阪　神,2023,29
熊谷　敬宥,26,9,6,7,2,0,0,0,2,0,3,1,2,0,2,0,0.333,0.5,0.333,1,0,阪　神,2023,29
佐藤　輝明,132,548,486,70,128,30,6,24,242,92,7,5,54,4,139,4,0.263,0.339,0.498,0,4,阪　神,2023,25
渡邉　諒,59,85,79,8,14,4,0,2,24,10,0,0,5,0,18,5,0.177,0.224,0.304,0,1,阪　神,2023,29
糸原　健斗,69,83,72,1,17,1,0,0,18,5,0,0,9,2,16,1,0.236,0.337,0.25,0,0,阪　神,2023,32
小幡　竜平,47,91,78,12,22,1,1,0,25,8,3,1,8,0,23,0,0.282,0.349,0.321,5,0,阪　神,2023,24
中野　拓夢,143,660,575,80,164,17,5,2,197,40,20,12,57,2,107,5,0.285,0.349,0.343,21,5,阪　神,2023,28
植田　海,28,3,1,9,0,0,0,0,0,0,4,0,1,0,0,0,0,0.5,0,1,0,阪　神,2023,28
原口　文仁,54,56,52,2,10,1,0,2,17,8,0,0,3,1,18,2,0.192,0.25,0.327,0,0,阪　神,2023,32
森下　翔太,94,377,333,42,79,14,1,10,125,41,1,0,29,11,70,6,0.237,0.316,0.375,0,4,阪　神,2023,24
近本　光司,129,585,501,83,143,24,12,8,215,54,28,3,67,12,71,6,0.285,0.379,0.429,0,5,阪　神,2023,30
井上　広大,13,37,35,3,8,2,1,0,12,7,0,0,2,0,18,0,0.229,0.27,0.343,0,0,阪　神,2023,23
島田　海吏,101,121,110,12,16,0,1,1,21,6,7,1,7,3,26,4,0.145,0.217,0.191,1,0,阪　神,2023,28
楠本　泰史,94,176,157,14,30,9,0,2,45,21,0,0,11,3,35,2,0.191,0.253,0.287,2,3,横浜DeNA,2023,29
前川　右京,33,107,94,6,24,3,2,0,31,7,0,2,9,4,25,1,0.255,0.346,0.33,0,0,阪　神,2023,21
小野寺　暖,43,83,75,8,26,2,2,0,32,11,0,0,7,0,12,0,0.347,0.402,0.427,1,0,阪　神,2023,26
マルティネス,119,444,386,39,95,24,0,15,164,66,0,4,44,11,99,15,0.246,0.338,0.425,0,3,北海道日本ハム,2023,28
清水　優心,32,60,50,3,13,1,0,0,14,5,1,0,4,0,13,1,0.26,0.315,0.28,6,0,北海道日本ハム,2023,28
伏見　寅威,89,251,229,13,46,5,0,3,60,12,0,0,8,4,42,4,0.201,0.241,0.262,10,0,北海道日本ハム,2023,34
古川　裕大,17,47,43,2,8,4,0,0,12,4,0,0,1,0,15,1,0.186,0.196,0.279,1,2,北海道日本ハム,2023,26
郡司　裕也,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,中　日,2023,26
郡司　裕也,55,187,169,15,43,4,0,3,56,19,2,1,16,0,30,4,0.254,0.319,0.331,2,0,北海道日本ハム,2023,26
吉田　賢吾,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,福岡ソフトバンク,2023,23
田宮　裕涼,10,31,31,4,8,1,0,2,15,9,2,0,0,0,7,0,0.258,0.258,0.484,0,0,北海道日本ハム,2023,24
梅林　優貴,7,6,6,0,3,0,0,0,3,0,0,0,0,0,1,1,0.5,0.5,0.5,0,0,北海道日本ハム,2023,26
上川畑　大悟,108,346,293,16,62,5,1,0,69,18,3,4,34,6,51,5,0.212,0.305,0.235,12,1,北海道日本ハム,2023,27
野村　佑希,125,473,423,42,100,21,1,13,162,43,4,1,42,4,112,3,0.236,0.309,0.383,0,4,北海道日本ハム,2023,24
中島　卓也,17,32,29,3,6,0,0,0,6,2,2,1,2,0,5,0,0.207,0.258,0.207,1,0,北海道日本ハム,2023,33
清宮　幸太郎,99,416,356,41,87,20,1,10,139,41,2,2,53,3,69,6,0.244,0.344,0.39,0,4,北海道日本ハム,2023,25
石井　一成,36,100,83,8,14,3,2,0,21,4,3,0,14,0,27,0,0.169,0.289,0.253,3,0,北海道日本ハム,2023,30
有薗　直輝,1,5,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,北海道日本ハム,2023,21
水野　達稀,31,62,56,1,9,4,1,0,15,6,1,1,4,0,21,0,0.161,0.213,0.268,1,1,北海道日本ハム,2023,24
若林　晃弘,21,18,16,3,2,0,0,0,2,0,1,0,2,0,5,0,0.125,0.222,0.125,0,0,読　売,2023,31
細川　凌平,60,112,97,11,21,5,1,1,31,10,1,2,7,0,26,0,0.216,0.269,0.32,8,0,北海道日本ハム,2023,22
奈良間　大己,65,196,181,20,44,12,2,2,66,15,2,2,8,3,50,4,0.243,0.285,0.365,3,1,北海道日本ハム,2023,24
松本　剛,134,561,507,51,140,16,2,3,169,30,12,12,37,7,57,11,0.276,0.332,0.333,7,3,北海道日本ハム,2023,31
淺間　大基,13,38,36,2,8,3,1,0,13,4,0,0,1,0,10,1,0.222,0.243,0.361,1,0,北海道日本ハム,2023,28
五十幡　亮汰,70,205,193,23,44,2,3,0,52,6,17,6,4,2,50,1,0.228,0.251,0.269,6,0,北海道日本ハム,2023,26
今川　優馬,28,69,61,7,12,1,0,0,13,1,3,0,6,2,17,0,0.197,0.29,0.213,0,0,北海道日本ハム,2023,27
万波　中正,141,582,533,69,141,33,0,25,249,74,2,1,41,4,138,12,0.265,0.321,0.467,2,2,北海道日本ハム,2023,24
木下　拓哉,89,315,278,19,66,15,0,5,96,26,0,0,30,1,55,4,0.237,0.313,0.345,5,1,中　日,2023,32
宇佐見　真吾,9,16,15,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0.063,0,0,0,北海道日本ハム,2023,31
宇佐見　真吾,69,226,206,12,58,6,0,3,73,14,0,0,17,1,47,4,0.282,0.339,0.354,2,0,中　日,2023,31
味谷　大誠,6,7,7,2,2,0,0,0,2,0,0,0,0,0,1,0,0.286,0.286,0.286,0,0,中　日,2023,21
加藤　匠馬,10,8,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,中　日,2023,32
山浅　龍之介,7,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,中　日,2023,20
石橋　康太,39,77,70,7,18,6,0,2,30,9,0,0,1,0,7,0,0.257,0.268,0.429,6,0,中　日,2023,23
高橋　周平,86,172,158,1,34,6,0,0,40,14,1,0,11,1,41,5,0.215,0.271,0.253,2,0,中　日,2023,30
カリステ,47,172,163,13,38,8,0,5,61,13,0,2,7,0,36,7,0.233,0.265,0.374,2,0,中　日,2023,32
村松　開人,98,304,275,20,57,4,1,1,66,20,1,2,15,2,49,2,0.207,0.252,0.24,10,2,中　日,2023,23
中田　翔,92,288,263,27,67,8,1,15,122,37,0,0,19,2,63,10,0.255,0.306,0.464,0,4,読　売,2023,35
福永　裕基,97,325,291,30,70,16,1,2,94,15,2,2,20,2,62,9,0.241,0.289,0.323,7,5,中　日,2023,28
石川　昂弥,121,464,434,32,105,27,0,13,171,45,0,0,22,4,69,10,0.242,0.282,0.394,0,4,中　日,2023,23
土田　龍空,114,304,273,16,51,3,2,1,61,18,2,1,15,2,59,5,0.187,0.233,0.223,12,2,中　日,2023,21
板山　祐太郎,12,17,17,1,1,0,0,0,1,0,0,0,0,0,7,1,0.059,0.059,0.059,0,0,阪　神,2023,30
佐藤　龍世,91,257,209,27,55,9,3,3,79,16,2,1,42,2,41,6,0.263,0.39,0.378,3,1,埼玉西武,2023,27
樋口　正修,7,3,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,中　日,2023,26
岡林　勇希,143,633,584,61,163,21,10,3,213,31,12,8,39,0,89,11,0.279,0.324,0.365,9,1,中　日,2023,22
大島　洋平,130,494,470,34,136,17,2,0,157,23,6,1,15,5,43,7,0.289,0.316,0.334,1,3,中　日,2023,39
ブライト　健太,33,68,58,6,14,0,2,0,18,4,2,0,6,1,20,0,0.241,0.323,0.31,3,0,中　日,2023,25
川越　誠司,12,38,30,2,4,0,0,1,7,5,0,0,6,1,13,0,0.133,0.297,0.233,1,0,埼玉西武,2023,31
川越　誠司,18,36,33,3,7,1,0,0,8,1,0,0,3,0,8,1,0.212,0.278,0.242,0,0,中　日,2023,31
上林　誠知,56,99,92,14,17,3,1,0,22,9,1,1,3,1,30,1,0.185,0.216,0.239,2,1,福岡ソフトバンク,2023,29
駿太,52,51,44,3,8,3,0,0,11,6,0,0,5,0,18,0,0.182,0.26,0.25,1,1,中　日,2023,31
細川　成也,140,576,518,62,131,30,1,24,235,78,0,0,49,8,161,17,0.253,0.326,0.454,0,1,中　日,2023,26
鵜飼　航丞,41,94,91,7,13,1,0,3,23,5,1,1,2,1,31,1,0.143,0.17,0.253,0,0,中　日,2023,25
松川　虎生,9,18,16,1,3,0,0,0,3,1,0,0,1,0,4,1,0.188,0.235,0.188,1,0,千葉ロッテ,2023,21
田村　龍弘,78,214,181,6,30,3,0,2,39,19,0,1,13,2,38,3,0.166,0.226,0.215,15,3,千葉ロッテ,2023,30
佐藤　都志也,103,278,239,19,52,12,1,4,78,22,0,2,22,3,45,4,0.218,0.289,0.326,12,2,千葉ロッテ,2023,26
植田　将太,4,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,千葉ロッテ,2023,26
柿沼　友哉,18,38,29,2,3,0,0,0,3,1,0,0,3,1,6,0,0.103,0.212,0.103,5,0,千葉ロッテ,2023,31
池田　来翔,40,118,104,17,28,6,1,2,42,8,0,0,6,3,17,1,0.269,0.327,0.404,5,0,千葉ロッテ,2023,24
友杉　篤輝,64,209,185,21,47,7,0,0,54,9,9,3,9,0,31,1,0.254,0.287,0.292,14,1,千葉ロッテ,2023,24
安田　尚憲,122,472,416,33,99,24,0,9,150,43,2,0,49,2,95,10,0.238,0.318,0.361,0,5,千葉ロッテ,2023,25
藤岡　裕大,93,380,310,34,86,20,0,1,109,22,7,2,54,4,66,4,0.277,0.389,0.352,10,2,千葉ロッテ,2023,31
中村　奨吾,137,584,508,61,112,23,0,11,168,48,3,1,52,7,89,20,0.22,0.299,0.331,13,4,千葉ロッテ,2023,32
大下　誠一郎,23,28,22,2,5,0,0,1,8,2,0,1,2,3,7,0,0.227,0.37,0.364,1,0,千葉ロッテ,2023,27
石垣　雅海,22,26,23,1,2,0,0,0,2,0,0,0,2,0,6,0,0.087,0.16,0.087,1,0,中　日,2023,26
小川　龍成,52,24,20,7,3,1,0,0,4,1,3,3,1,0,7,0,0.15,0.19,0.2,3,0,千葉ロッテ,2023,26
茶谷　健太,79,187,169,18,48,6,1,0,56,9,2,0,11,2,26,2,0.284,0.333,0.331,4,1,千葉ロッテ,2023,26
ソト,109,399,354,31,83,22,0,14,147,50,0,2,39,4,99,11,0.234,0.316,0.415,0,2,横浜DeNA,2023,35
荻野　貴司,50,203,183,19,44,8,1,1,57,19,1,0,11,6,16,4,0.24,0.302,0.311,1,2,千葉ロッテ,2023,39
藤原　恭大,103,361,328,35,78,15,2,3,106,21,5,2,18,4,78,3,0.238,0.285,0.323,10,1,千葉ロッテ,2023,24
角中　勝也,86,244,216,20,64,16,1,9,109,39,1,0,21,1,43,0,0.296,0.357,0.505,3,3,千葉ロッテ,2023,37
ポランコ,125,497,447,43,108,15,0,26,201,75,0,0,47,0,92,3,0.242,0.312,0.45,0,3,千葉ロッテ,2023,33
石川　慎吾,44,118,112,10,39,6,0,2,51,10,0,0,6,0,20,2,0.348,0.381,0.455,0,0,千葉ロッテ,2023,31
岡　大海,109,372,319,50,90,16,3,7,133,33,15,4,37,8,56,5,0.282,0.371,0.417,8,0,千葉ロッテ,2023,33
愛斗,73,267,257,19,55,18,0,4,85,15,2,5,3,2,55,7,0.214,0.228,0.331,4,1,埼玉西武,2023,27
山口　航輝,115,474,421,46,99,21,0,14,162,57,0,0,43,5,122,7,0.235,0.31,0.385,0,5,千葉ロッテ,2023,24
山本　大斗,2,7,7,0,1,0,0,0,1,0,0,0,0,0,4,1,0.143,0.143,0.143,0,0,千葉ロッテ,2023,22
和田　康士朗,80,113,98,30,26,4,2,3,43,9,20,1,9,3,32,0,0.265,0.345,0.439,3,0,千葉ロッテ,2023,25
會澤　翼,54,133,116,6,20,4,0,1,27,10,0,0,10,4,26,4,0.172,0.26,0.233,2,1,広島東洋,2023,36
坂倉　将吾,120,448,395,48,105,19,1,12,162,44,3,0,47,3,67,9,0.266,0.347,0.41,1,2,広島東洋,2023,26
磯村　嘉孝,25,32,29,2,6,1,0,1,10,4,0,0,1,1,10,2,0.207,0.258,0.345,1,0,広島東洋,2023,32
羽月　隆太郎,50,53,47,10,7,1,0,0,8,4,14,6,4,0,12,3,0.149,0.216,0.17,2,0,広島東洋,2023,24
上本　崇司,84,276,247,20,64,7,1,1,76,17,8,2,12,9,46,1,0.259,0.317,0.308,8,0,広島東洋,2023,34
田中　広輔,111,253,224,28,51,10,0,6,79,28,2,6,25,1,48,6,0.228,0.308,0.353,3,0,広島東洋,2023,35
矢野　雅哉,93,146,119,22,22,2,0,0,24,3,7,0,14,0,35,2,0.185,0.269,0.202,12,1,広島東洋,2023,25
小園　海斗,80,306,290,25,83,11,7,6,126,31,8,4,10,2,38,7,0.286,0.315,0.434,4,0,広島東洋,2023,24
堂林　翔太,100,284,260,29,71,13,0,12,120,35,1,6,19,0,72,7,0.273,0.323,0.462,5,0,広島東洋,2023,33
菊池　涼介,120,485,442,51,114,17,0,5,146,27,7,5,32,2,68,6,0.258,0.31,0.33,8,1,広島東洋,2023,34
林　晃汰,20,62,58,5,12,4,0,1,19,5,0,0,3,1,20,0,0.207,0.258,0.328,0,0,広島東洋,2023,24
韮澤　雄也,45,55,50,5,7,2,0,0,9,3,0,0,5,0,13,3,0.14,0.218,0.18,0,0,広島東洋,2023,23
山足　達也,32,27,25,7,5,1,0,0,6,0,2,0,2,0,5,1,0.2,0.259,0.24,0,0,オリックス,2023,31
秋山　翔吾,115,483,434,48,119,20,6,4,163,38,8,3,35,4,81,12,0.274,0.333,0.376,9,1,広島東洋,2023,36
野間　峻祥,108,418,371,37,106,11,1,0,119,26,5,6,33,5,51,10,0.286,0.351,0.321,8,1,広島東洋,2023,31
末包　昇大,65,146,139,16,38,6,0,11,77,27,0,0,6,1,40,5,0.273,0.308,0.554,0,0,広島東洋,2023,28
松山　竜平,79,156,143,5,36,9,0,0,45,27,0,0,10,1,27,4,0.252,0.301,0.315,0,2,広島東洋,2023,39
大盛　穂,59,71,66,10,10,2,0,1,15,5,4,3,2,2,22,1,0.152,0.2,0.227,1,0,広島東洋,2023,28
田村　俊介,10,22,22,3,8,2,0,0,10,0,0,0,0,0,6,1,0.364,0.364,0.455,0,0,広島東洋,2023,21
中村　奨成,18,20,20,2,3,0,0,0,3,0,0,1,0,0,7,0,0.15,0.15,0.15,0,0,広島東洋,2023,25
中村　貴浩,15,37,34,3,6,1,0,0,7,3,1,0,1,1,10,2,0.176,0.216,0.206,0,1,広島東洋,2023,24
太田　光,104,233,173,19,42,6,0,3,57,14,1,0,27,4,47,4,0.243,0.356,0.329,28,1,東北楽天,2023,28
安田　悠馬,53,127,110,7,24,2,0,3,35,7,0,0,16,1,25,5,0.218,0.323,0.318,0,0,東北楽天,2023,24
堀内　謙伍,3,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0.5,0.667,0.5,0,0,東北楽天,2023,27
小深田　大翔,134,549,477,67,123,8,6,5,158,37,36,6,48,3,83,8,0.258,0.329,0.331,20,1,東北楽天,2023,29
浅村　栄斗,143,601,522,64,143,20,0,26,241,78,2,1,75,3,108,9,0.274,0.368,0.462,0,1,東北楽天,2023,34
阿部　寿樹,78,253,216,16,55,17,1,4,86,24,0,0,27,2,47,12,0.255,0.34,0.398,6,2,東北楽天,2023,34
村林　一輝,98,340,301,35,77,14,2,2,101,32,11,5,21,4,55,12,0.256,0.311,0.336,12,2,東北楽天,2023,27
鈴木　大地,101,292,250,25,61,9,1,5,87,27,0,2,24,9,36,6,0.244,0.33,0.348,7,2,東北楽天,2023,35
フランコ,95,334,312,31,69,11,0,12,116,32,0,0,21,1,52,11,0.221,0.272,0.372,0,0,東北楽天,2023,32
黒川　史陽,9,24,22,1,2,0,0,1,5,2,0,0,0,0,5,0,0.091,0.087,0.227,1,1,東北楽天,2023,23
山﨑　剛,117,307,261,29,53,6,5,2,75,19,13,6,35,3,58,9,0.203,0.303,0.287,7,1,東北楽天,2023,28
伊藤　裕季也,87,216,188,20,46,6,1,5,69,16,3,2,15,1,48,3,0.245,0.301,0.367,10,2,東北楽天,2023,28
山田　遥楓,29,46,41,1,11,2,0,0,13,1,0,0,4,1,6,0,0.268,0.348,0.317,0,0,北海道日本ハム,2023,28
渡邊　佳明,25,57,49,3,7,0,0,0,7,3,0,0,5,0,7,3,0.143,0.222,0.143,3,0,東北楽天,2023,27
辰己　涼介,133,495,434,45,114,16,5,9,167,43,13,4,40,12,99,3,0.263,0.341,0.385,8,1,東北楽天,2023,27
田中　和基,95,41,34,22,3,0,0,2,9,3,3,2,5,0,13,1,0.088,0.205,0.265,2,0,東北楽天,2023,30
岡島　豪郎,114,410,361,33,96,20,0,6,134,43,3,2,33,3,67,10,0.266,0.327,0.371,5,7,東北楽天,2023,35
島内　宏明,104,369,322,21,76,13,0,7,110,38,2,0,41,3,41,5,0.236,0.325,0.342,0,3,東北楽天,2023,34
小郷　裕哉,120,441,390,53,102,16,3,10,154,49,13,8,36,1,85,3,0.262,0.321,0.395,8,6,東北楽天,2023,28
古賀　優大,38,80,68,10,20,1,0,1,24,2,0,0,8,1,6,2,0.294,0.377,0.353,3,0,東京ヤクルト,2023,26
中村　悠平,106,376,310,24,70,14,0,4,96,33,0,1,33,8,59,6,0.226,0.313,0.31,21,4,東京ヤクルト,2023,34
松本　直樹,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,東京ヤクルト,2023,31
内山　壮真,94,269,240,20,55,12,1,6,87,27,3,0,19,2,37,7,0.229,0.29,0.363,7,1,東京ヤクルト,2023,22
赤羽　由紘,29,27,23,5,4,0,0,1,7,3,0,0,1,1,12,0,0.174,0.231,0.304,1,1,東京ヤクルト,2023,24
山田　哲人,105,422,376,43,87,21,3,14,156,40,4,0,39,3,102,8,0.231,0.306,0.415,0,4,東京ヤクルト,2023,32
川端　慎吾,80,105,94,4,30,3,0,2,39,16,0,0,9,1,10,4,0.319,0.385,0.415,1,0,東京ヤクルト,2023,37
長岡　秀樹,135,488,445,43,101,19,1,3,131,35,4,2,29,5,57,11,0.227,0.281,0.294,7,2,東京ヤクルト,2023,23
茂木　栄五郎,8,15,12,1,1,0,0,0,1,1,0,0,3,0,3,1,0.083,0.267,0.083,0,0,東北楽天,2023,30
宮本　丈,65,123,90,11,20,5,0,0,25,7,1,0,17,5,18,4,0.222,0.368,0.278,9,2,東京ヤクルト,2023,29
オスナ,134,543,501,49,127,23,0,23,219,71,2,4,39,1,79,13,0.253,0.308,0.437,0,2,東京ヤクルト,2023,29
